,Unnamed: 0,year_ceremony,category,name,film,winner,single_award,race
0,5,2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A LEADING ROLE,CYNTHIA ERIVO,HARRIET,FALSE,TRUE,White
1,6,2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A LEADING ROLE,SCARLETT JOHANSSON,MARRIAGE STORY,FALSE,TRUE,White
2,16,2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A SUPPORTING ROLE,SCARLETT JOHANSSON,JOJO RABBIT,FALSE,TRUE,White
3,7,2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A LEADING ROLE,LUPITA NYONG'O,US,FALSE,TRUE,Black
4,1699,2014 - 20th Annual,FEMALE SUPPORTING ROLE,LUPITA NYONG'O,12 YEARS A SLAVE,TRUE,TRUE,Black
5,8,2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A LEADING ROLE,CHARLIZE THERON,BOMBSHELL,FALSE,TRUE,White
6,3703,2006 - 12th Annual,FEMALE LEAD ROLE,CHARLIZE THERON,NORTH COUNTRY,FALSE,TRUE,White
7,3904,2005 - 11th Annual,FEMALE TV MOVIE OR MINISERIES,CHARLIZE THERON,THE LIFE AND DEATH OF PETER SELLERS,FALSE,TRUE,White
8,4062,2004 - 10th Annual,FEMALE LEAD ROLE,CHARLIZE THERON,MONSTER,TRUE,TRUE,White
9,9,2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A LEADING ROLE,RENÉE ZELLWEGER,JUDY,TRUE,TRUE,White
10,4066,2004 - 10th Annual,FEMALE SUPPORTING ROLE,RENÉE ZELLWEGER,COLD MOUNTAIN,TRUE,TRUE,White
11,4258,2003 - 9th Annual,FEMALE LEAD ROLE,RENÉE ZELLWEGER,CHICAGO,TRUE,TRUE,White
12,10,2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A LEADING ROLE,CHRISTIAN BALE,FORD V FERRARI,FALSE,TRUE,White
13,289,2019 - 25th Annual,MALE LEAD IN A MOTION PICTURE,CHRISTIAN BALE,VICE,FALSE,TRUE,White
14,1166,2016 - 22nd Annual,MALE SUPPORT,CHRISTIAN BALE,THE BIG SHORT,FALSE,TRUE,White
15,1167,2016 - 22nd Annual,MALE SUPPORT,CHRISTIAN BALE,THE BIG SHORT,FALSE,TRUE,White
16,2490,2011 - 17th Annual,MALE SUPPORTING ROLE,CHRISTIAN BALE,THE FIGHTER,TRUE,TRUE,White
17,11,2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A LEADING ROLE,LEONARDO DICAPRIO,ONCE UPON A TIME...IN HOLLYWOOD,FALSE,TRUE,White
18,2260,2012 - 18th Annual,MALE LEAD ROLE,LEONARDO DICAPRIO,J. EDGAR,FALSE,TRUE,White
19,3497,2007 - 13th Annual,MALE LEAD ROLE,LEONARDO DICAPRIO,BLOOD DIAMOND,FALSE,TRUE,White
20,3506,2007 - 13th Annual,MALE SUPPORTING ROLE,LEONARDO DICAPRIO,THE DEPARTED,FALSE,TRUE,White
21,3922,2005 - 11th Annual,MALE LEAD ROLE,LEONARDO DICAPRIO,THE AVIATOR,FALSE,TRUE,White
22,12,2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A LEADING ROLE,ADAM DRIVER,MARRIAGE STORY,FALSE,TRUE,White
23,292,2019 - 25th Annual,MALE SUPPORT IN A MOTION PICTURE ,ADAM DRIVER,BLACKKKLANSMAN,FALSE,TRUE,White
24,13,2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A LEADING ROLE,TARON EGERTON,ROCKETMAN,FALSE,TRUE,White
25,14,2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A LEADING ROLE,JOAQUIN PHOENIX,JOKER,TRUE,TRUE,White
26,3731,2006 - 12th Annual,MALE LEAD ROLE,JOAQUIN PHOENIX,WALK THE LINE,FALSE,TRUE,White
27,4675,2001 - 7th Annual,MALE SUPPORTING ROLE,JOAQUIN PHOENIX,GLADIATOR,FALSE,TRUE,White
28,15,2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A SUPPORTING ROLE,LAURA DERN,MARRIAGE STORY,TRUE,TRUE,White
29,557,2018 - 24th Annual,FEMALE TV MOVIE OR LIMITED SERIES,LAURA DERN,BIG LITTLE LIES,FALSE,TRUE,White
30,2958,2009 - 15th Annual,FEMALE TV MOVIE OR MINISERIES,LAURA DERN,RECOUNT,FALSE,TRUE,White
31,17,2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A SUPPORTING ROLE,NICOLE KIDMAN,BOMBSHELL,FALSE,TRUE,White
32,558,2018 - 24th Annual,FEMALE TV MOVIE OR LIMITED SERIES,NICOLE KIDMAN,BIG LITTLE LIES,TRUE,TRUE,White
33,850,2017 - 23rd Annual,FEMALE SUPPORT,NICOLE KIDMAN,LION,FALSE,TRUE,White
34,1133,2016 - 22nd Annual,FEMALE TV MOVIE OR MINISERIES,NICOLE KIDMAN,GRACE OF MONACO,FALSE,TRUE,White
35,1971,2013 - 19th Annual,FEMALE SUPPORTING ROLE,NICOLE KIDMAN,THE PAPERBOY,FALSE,TRUE,White
36,1974,2013 - 19th Annual,FEMALE TV MOVIE OR MINISERIES,NICOLE KIDMAN,HEMINGWAY & GELLHORN,FALSE,TRUE,White
37,2461,2011 - 17th Annual,FEMALE LEAD ROLE,NICOLE KIDMAN,RABBIT HOLE,FALSE,TRUE,White
38,4261,2003 - 9th Annual,FEMALE LEAD ROLE,NICOLE KIDMAN,THE HOURS,FALSE,TRUE,White
39,18,2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A SUPPORTING ROLE,JENNIFER LOPEZ,HUSTLERS,FALSE,TRUE,Hispanic
40,19,2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A SUPPORTING ROLE,MARGOT ROBBIE,BOMBSHELL,FALSE,TRUE,White
41,266,2019 - 25th Annual,FEMALE SUPPORT IN A MOTION PICTURE,MARGOT ROBBIE,MARY QUEEN OF SCOTS,FALSE,TRUE,White
42,547,2018 - 24th Annual,FEMALE LEAD,MARGOT ROBBIE,"I, Tonya",FALSE,TRUE,White
43,20,2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A SUPPORTING ROLE,JAMIE FOXX,JUST MERCY,FALSE,TRUE,Black
44,3920,2005 - 11th Annual,MALE LEAD ROLE,JAMIE FOXX,RAY,TRUE,TRUE,Black
45,3923,2005 - 11th Annual,MALE SUPPORTING ROLE,JAMIE FOXX,COLLATERAL,FALSE,TRUE,Black
46,3930,2005 - 11th Annual,MALE TV MOVIE OR MINISERIES,JAMIE FOXX,REDEMPTION,FALSE,TRUE,Black
47,21,2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A SUPPORTING ROLE,TOM HANKS,A BEAUTIFUL DAY IN THE NEIGHBORHOOD,FALSE,TRUE,White
48,1721,2014 - 20th Annual,MALE LEAD ROLE,TOM HANKS,CAPTAIN PHILLIPS,FALSE,TRUE,White
49,4670,2001 - 7th Annual,MALE LEAD ROLE,TOM HANKS,CAST AWAY,FALSE,TRUE,White
50,5044,1999 - 5th Annual,MALE LEAD ROLE,TOM HANKS,SAVING PRIVATE RYAN,FALSE,TRUE,White
51,5709,1995 - 1st Annual,MALE LEAD ROLE,TOM HANKS,FORREST GUMP,TRUE,TRUE,White
52,22,2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A SUPPORTING ROLE,AL PACINO,THE IRISHMAN,FALSE,TRUE,White
53,1733,2014 - 20th Annual,MALE TV MOVIE OR MINISERIES,AL PACINO,PHIL SPECTOR,FALSE,TRUE,White
54,2498,2011 - 17th Annual,MALE TV MOVIE OR MINISERIES,AL PACINO,YOU DON'T KNOW JACK,TRUE,TRUE,White
55,4097,2004 - 10th Annual,MALE TV MOVIE OR MINISERIES,AL PACINO,ANGELS IN AMERICA,TRUE,TRUE,White
56,23,2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A SUPPORTING ROLE,JOE PESCI,THE IRISHMAN,FALSE,TRUE,White
57,24,2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A SUPPORTING ROLE,BRAD PITT,ONCE UPON A TIME...IN HOLLYWOOD,TRUE,TRUE,White
58,2261,2012 - 18th Annual,MALE LEAD ROLE,BRAD PITT,MONEYBALL,FALSE,TRUE,White
59,2972,2009 - 15th Annual,MALE LEAD ROLE,BRAD PITT,THE CURIOUS CASE OF BENJAMIN BUTTON,FALSE,TRUE,White
60,30,2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A DRAMA SERIES,JENNIFER ANISTON,THE MORNING SHOW,TRUE,TRUE,White
61,1407,2015 - 21st Annual,FEMALE ACTOR IN A LEADING ROLE,JENNIFER ANISTON,CAKE,FALSE,TRUE,White
62,4249,2003 - 9th Annual,FEMALE COMEDY SERIES,JENNIFER ANISTON,FRIENDS,FALSE,TRUE,White
63,4442,2002 - 8th Annual,FEMALE COMEDY SERIES,JENNIFER ANISTON,FRIENDS,FALSE,TRUE,White
64,31,2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A DRAMA SERIES,HELENA BONHAM CARTER,THE CROWN,FALSE,TRUE,White
65,1705,2014 - 20th Annual,FEMALE TV MOVIE OR MINISERIES,HELENA BONHAM CARTER,BURTON AND TAYLOR,FALSE,TRUE,White
66,2467,2011 - 17th Annual,FEMALE SUPPORTING ROLE,HELENA BONHAM CARTER,THE KING'S SPEECH,FALSE,TRUE,White
67,5201,1998 - 4th Annual,FEMALE LEAD ROLE,HELENA BONHAM CARTER,THE WINGS OF THE DOVE,FALSE,TRUE,White
68,32,2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A DRAMA SERIES,OLIVIA COLMAN,THE CROWN,FALSE,TRUE,White
69,263,2019 - 25th Annual,FEMALE LEAD IN A MOTION PICTURE,OLIVIA COLMAN,THE FAVOURITE,FALSE,TRUE,White
70,33,2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A DRAMA SERIES,JODIE COMER,KILLING EVE,FALSE,TRUE,White
71,34,2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A DRAMA SERIES,ELISABETH MOSS,THE HANDMAID'S TALE,FALSE,TRUE,White
72,259,2019 - 25th Annual,FEMALE IN A DRAMA SERIES,ELISABETH MOSS,THE HANDMAID'S TALE,FALSE,TRUE,White
73,546,2018 - 24th Annual,FEMALE DRAMA,ELISABETH MOSS,THE HANDMAID'S TALE,FALSE,TRUE,White
74,1707,2014 - 20th Annual,FEMALE TV MOVIE OR MINISERIES,ELISABETH MOSS,TOP OF THE LAKE,FALSE,TRUE,White
75,2456,2011 - 17th Annual,FEMALE DRAMA SERIES,ELISABETH MOSS,MAD MEN,FALSE,TRUE,White
76,2941,2009 - 15th Annual,FEMALE DRAMA SERIES,ELISABETH MOSS,MAD MEN,FALSE,TRUE,White
77,35,2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A DRAMA SERIES,STERLING K. BROWN,THIS IS US,FALSE,TRUE,Black
78,283,2019 - 25th Annual,MALE IN A DRAMA SERIES,STERLING K. BROWN,THIS IS US,FALSE,TRUE,Black
79,572,2018 - 24th Annual,MALE DRAMA,STERLING K. BROWN,THIS IS US,TRUE,TRUE,Black
80,867,2017 - 23rd Annual,MALE DRAMA,STERLING K. BROWN,THIS IS US,FALSE,TRUE,Black
81,882,2017 - 23rd Annual,MALE TV MOVIE OR LIMITED SERIES,STERLING K. BROWN,THE PEOPLE V. O.J. SIMPSON: AMERICAN CRIME STORY,FALSE,TRUE,Black
82,36,2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A DRAMA SERIES,STEVE CARELL,THE MORNING SHOW,FALSE,TRUE,White
83,577,2018 - 24th Annual,MALE SUPPORT,STEVE CARELL,BATTLE OF THE SEXES,FALSE,TRUE,White
84,1434,2015 - 21st Annual,MALE ACTOR IN A LEADING ROLE,STEVE CARELL,FOXCATCHER,FALSE,TRUE,White
85,2252,2012 - 18th Annual,MALE COMEDY SERIES,STEVE CARELL,THE OFFICE,FALSE,TRUE,White
86,2479,2011 - 17th Annual,MALE COMEDY SERIES,STEVE CARELL,THE OFFICE,FALSE,TRUE,White
87,2718,2010 - 16th Annual,MALE COMEDY SERIES,STEVE CARELL,THE OFFICE,FALSE,TRUE,White
88,2964,2009 - 15th Annual,MALE COMEDY SERIES,STEVE CARELL,THE OFFICE,FALSE,TRUE,White
89,3230,2008 - 14th Annual,MALE COMEDY SERIES,STEVE CARELL,THE OFFICE,FALSE,TRUE,White
90,3491,2007 - 13th Annual,MALE COMEDY SERIES,STEVE CARELL,THE OFFICE,FALSE,TRUE,White
91,37,2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A DRAMA SERIES,BILLY CRUDUP,THE MORNING SHOW,FALSE,TRUE,White
92,38,2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A DRAMA SERIES,PETER DINKLAGE,GAME OF THRONES,TRUE,TRUE,White
93,569,2018 - 24th Annual,MALE DRAMA,PETER DINKLAGE,GAME OF THRONES,FALSE,TRUE,White
94,863,2017 - 23rd Annual,MALE DRAMA,PETER DINKLAGE,GAME OF THRONES,FALSE,TRUE,White
95,1145,2016 - 22nd Annual,MALE DRAMA,PETER DINKLAGE,Game of Thrones,FALSE,TRUE,White
96,1146,2016 - 22nd Annual,MALE DRAMA,PETER DINKLAGE,Game of Thrones,FALSE,TRUE,White
97,1429,2015 - 21st Annual,MALE ACTOR IN A DRAMA SERIES,PETER DINKLAGE,GAME OF THRONES,FALSE,TRUE,White
98,1717,2014 - 20th Annual,MALE DRAMA SERIES,PETER DINKLAGE,GAME OF THRONES,FALSE,TRUE,White
99,4091,2004 - 10th Annual,MALE LEAD ROLE,PETER DINKLAGE,THE STATION AGENT,FALSE,TRUE,White
100,39,2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A DRAMA SERIES,DAVID HARBOUR,STRANGER THINGS,FALSE,TRUE,White
101,571,2018 - 24th Annual,MALE DRAMA,DAVID HARBOUR,STRANGER THINGS,FALSE,TRUE,White
102,45,2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A COMEDY SERIES,CHRISTINA APPLEGATE,DEAD TO ME,FALSE,TRUE,White
103,2690,2010 - 16th Annual,FEMALE COMEDY SERIES,CHRISTINA APPLEGATE,SAMANTHA WHO?,FALSE,TRUE,White
104,2935,2009 - 15th Annual,FEMALE COMEDY SERIES,CHRISTINA APPLEGATE,SAMANTHA WHO?,FALSE,TRUE,White
105,3200,2008 - 14th Annual,FEMALE COMEDY SERIES,CHRISTINA APPLEGATE,SAMANTHA WHO?,FALSE,TRUE,White
106,46,2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A COMEDY SERIES,ALEX BORSTEIN,THE MARVELOUS MRS. MAISEL,FALSE,TRUE,White
107,253,2019 - 25th Annual,FEMALE IN A COMEDY SERIES,ALEX BORSTEIN,THE MARVELOUS MRS. MAISEL,FALSE,TRUE,White
108,47,2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A COMEDY SERIES,RACHEL BROSNAHAN,THE MARVELOUS MRS. MAISEL,FALSE,TRUE,White
109,254,2019 - 25th Annual,FEMALE IN A COMEDY SERIES,RACHEL BROSNAHAN,THE MARVELOUS MRS. MAISEL,TRUE,TRUE,White
110,48,2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A COMEDY SERIES,CATHERINE O'HARA,SCHITT'S CREEK,FALSE,TRUE,White
111,2469,2011 - 17th Annual,FEMALE TV MOVIE OR MINISERIES,CATHERINE O'HARA,TEMPLE GRANDIN,FALSE,TRUE,White
112,49,2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A COMEDY SERIES,PHOEBE WALLER-BRIDGE,FLEABAG,TRUE,TRUE,White
113,50,2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A COMEDY SERIES,ALAN ARKIN,THE KOMINSKY METHOD,FALSE,TRUE,White
114,277,2019 - 25th Annual,MALE IN A COMEDY SERIES,ALAN ARKIN,THE KOMINSKY METHOD ,FALSE,TRUE,White
115,1994,2013 - 19th Annual,MALE SUPPORTING ROLE,ALAN ARKIN,ARGO,FALSE,TRUE,White
116,3505,2007 - 13th Annual,MALE SUPPORTING ROLE,ALAN ARKIN,LITTLE MISS SUNSHINE,FALSE,TRUE,White
117,51,2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A COMEDY SERIES,MICHAEL DOUGLAS,THE KOMINSKY METHOD,FALSE,TRUE,White
118,1731,2014 - 20th Annual,MALE TV MOVIE OR MINISERIES,MICHAEL DOUGLAS,BEHIND THE CANDELABRA,TRUE,TRUE,White
119,52,2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A COMEDY SERIES,BILL HADER,BARRY,FALSE,TRUE,White
120,275,2019 - 25th Annual,MALE IN A COMEDY SERIES,BILL HADER,BARRY,FALSE,TRUE,White
121,53,2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A COMEDY SERIES,ANDREW SCOTT,FLEABAG,FALSE,TRUE,White
122,54,2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A COMEDY SERIES,TONY SHALHOUB,THE MARVELOUS MRS. MAISEL,TRUE,TRUE,Middle Eastern
123,279,2019 - 25th Annual,MALE IN A COMEDY SERIES,TONY SHALHOUB,THE MARVELOUS MRS. MAISEL,TRUE,TRUE,Middle Eastern
124,2717,2010 - 16th Annual,MALE COMEDY SERIES,TONY SHALHOUB,MONK,FALSE,TRUE,Middle Eastern
125,2963,2009 - 15th Annual,MALE COMEDY SERIES,TONY SHALHOUB,MONK,FALSE,TRUE,Middle Eastern
126,3229,2008 - 14th Annual,MALE COMEDY SERIES,TONY SHALHOUB,MONK,FALSE,TRUE,Middle Eastern
127,3489,2007 - 13th Annual,MALE COMEDY SERIES,TONY SHALHOUB,MONK,FALSE,TRUE,Middle Eastern
128,3910,2005 - 11th Annual,MALE COMEDY SERIES,TONY SHALHOUB,MONK,TRUE,TRUE,Middle Eastern
129,4080,2004 - 10th Annual,MALE COMEDY SERIES,TONY SHALHOUB,MONK,TRUE,TRUE,Middle Eastern
130,4276,2003 - 9th Annual,MALE COMEDY SERIES,TONY SHALHOUB,MONK,FALSE,TRUE,Middle Eastern
131,55,2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,PATRICIA ARQUETTE,THE ACT,FALSE,TRUE,White
132,1413,2015 - 21st Annual,FEMALE ACTOR IN A SUPPORTING ROLE,PATRICIA ARQUETTE,BOYHOOD,FALSE,TRUE,White
133,2695,2010 - 16th Annual,FEMALE DRAMA SERIES,PATRICIA ARQUETTE,MEDIUM,FALSE,TRUE,White
134,3468,2007 - 13th Annual,FEMALE DRAMA SERIES,PATRICIA ARQUETTE,MEDIUM,FALSE,TRUE,White
135,3699,2006 - 12th Annual,FEMALE DRAMA SERIES,PATRICIA ARQUETTE,MEDIUM,FALSE,TRUE,White
136,56,2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,TONI COLLETTE,UNBELIEVEABLE,FALSE,TRUE,White
137,2692,2010 - 16th Annual,FEMALE COMEDY SERIES,TONI COLLETTE,UNITED STATES OF TARA,FALSE,TRUE,White
138,57,2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,JOEY KING,THE ACT,FALSE,TRUE,White
139,58,2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,EMILY WATSON,CHERNOBYL,FALSE,TRUE,White
140,2243,2012 - 18th Annual,FEMALE TV MOVIE OR MINISERIES,EMILY WATSON,APPROPRIATE ADULT,FALSE,TRUE,White
141,5016,1999 - 5th Annual,FEMALE LEAD ROLE,EMILY WATSON,HILARY AND JACKIE,FALSE,TRUE,White
142,59,2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,MICHELLE WILLIAMS,FOSSE/VERDON,TRUE,TRUE,Black
143,851,2017 - 23rd Annual,FEMALE SUPPORT,MICHELLE WILLIAMS,MANCHESTER BY THE SEA,FALSE,TRUE,Black
144,2234,2012 - 18th Annual,FEMALE LEAD ROLE,MICHELLE WILLIAMS,MY WEEK WITH MARILYN,FALSE,TRUE,Black
145,3706,2006 - 12th Annual,FEMALE SUPPORTING ROLE,MICHELLE WILLIAMS,BROKEBACK MOUNTAIN,FALSE,TRUE,Black
146,60,2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,MAHERSHALA ALI,TRUE DETECTIVE,FALSE,TRUE,Black
147,294,2019 - 25th Annual,MALE SUPPORT IN A MOTION PICTURE ,MAHERSHALA ALI,GREEN BOOK,TRUE,TRUE,Black
148,877,2017 - 23rd Annual,MALE SUPPORT,MAHERSHALA ALI,MOONLIGHT,TRUE,TRUE,Black
149,61,2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,RUSSELL CROWE,THE LOUDEST VOICE,FALSE,TRUE,White
150,3729,2006 - 12th Annual,MALE LEAD ROLE,RUSSELL CROWE,CINDERELLA MAN,FALSE,TRUE,White
151,4478,2002 - 8th Annual,MALE LEAD ROLE,RUSSELL CROWE,A BEAUTIFUL MIND,TRUE,TRUE,White
152,4671,2001 - 7th Annual,MALE LEAD ROLE,RUSSELL CROWE,GLADIATOR,FALSE,TRUE,White
153,4867,2000 - 6th Annual,MALE LEAD ROLE,RUSSELL CROWE,THE INSIDER,FALSE,TRUE,White
154,62,2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,JARED HARRIS,CHERNOBYL,FALSE,TRUE,White
155,63,2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,JHARREL JEROME,WHEN THEY SEE US,FALSE,TRUE,White
156,64,2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,SAM ROCKWELL,FOSSE/VERDON,TRUE,TRUE,White
157,580,2018 - 24th Annual,MALE SUPPORT,SAM ROCKWELL,THREE BILLBOARDS OUTSIDE EBBING MISSOURI,TRUE,TRUE,White
158,250,2019 - 25th Annual,FEMALE IN A COMEDY SERIES,ALISON BRIE,GLOW,FALSE,TRUE,White
159,538,2018 - 24th Annual,FEMALE COMEDY,ALISON BRIE,GLOW,FALSE,TRUE,White
160,251,2019 - 25th Annual,FEMALE IN A COMEDY SERIES,JANE FONDA,GRACE AND FRANKIE,FALSE,TRUE,White
161,539,2018 - 24th Annual,FEMALE COMEDY,JANE FONDA,GRACE AND FRANKIE,FALSE,TRUE,White
162,833,2017 - 23rd Annual,FEMALE COMEDY,JANE FONDA,GRACE AND FRANKIE,FALSE,TRUE,White
163,252,2019 - 25th Annual,FEMALE IN A COMEDY SERIES,LILY TOMLIN,GRACE AND FRANKIE,FALSE,TRUE,White
164,540,2018 - 24th Annual,FEMALE COMEDY,LILY TOMLIN,GRACE AND FRANKIE,FALSE,TRUE,White
165,834,2017 - 23rd Annual,FEMALE COMEDY,LILY TOMLIN,GRACE AND FRANKIE,FALSE,TRUE,White
166,4257,2003 - 9th Annual,FEMALE DRAMA SERIES,LILY TOMLIN,THE WEST WING,FALSE,TRUE,White
167,255,2019 - 25th Annual,FEMALE IN A DRAMA SERIES,ROBIN WRIGHT ,HOUSE OF CARDS,FALSE,TRUE,White
168,256,2019 - 25th Annual,FEMALE IN A DRAMA SERIES,SANDRA OH,KILLING EVE,TRUE,TRUE,Asian
169,3697,2006 - 12th Annual,FEMALE DRAMA SERIES,SANDRA OH,GREY'S ANATOMY,TRUE,TRUE,Asian
170,257,2019 - 25th Annual,FEMALE IN A DRAMA SERIES,JULIA GARNER,OZARK,FALSE,TRUE,White
171,258,2019 - 25th Annual,FEMALE IN A DRAMA SERIES,LAURA LINNEY,OZARK,FALSE,TRUE,White
172,2957,2009 - 15th Annual,FEMALE TV MOVIE OR MINISERIES,LAURA LINNEY,JOHN ADAMS,TRUE,TRUE,White
173,3898,2005 - 11th Annual,FEMALE SUPPORTING ROLE,LAURA LINNEY,KINSEY,FALSE,TRUE,White
174,4647,2001 - 7th Annual,FEMALE LEAD ROLE,LAURA LINNEY,YOU CAN COUNT ON ME,FALSE,TRUE,White
176,260,2019 - 25th Annual,FEMALE LEAD IN A MOTION PICTURE,LADY GAGA,A STAR IS BORN ,FALSE,TRUE,White
177,261,2019 - 25th Annual,FEMALE LEAD IN A MOTION PICTURE,MELISSA MCCARTHY,CAN YOU EVER FORGIVE ME?,FALSE,TRUE,White
178,2239,2012 - 18th Annual,FEMALE SUPPORTING ROLE,MELISSA MCCARTHY,BRIDESMAIDS,FALSE,TRUE,White
179,262,2019 - 25th Annual,FEMALE LEAD IN A MOTION PICTURE,EMILY BLUNT,MARY POPPINS RETURNS,FALSE,TRUE,White
180,265,2019 - 25th Annual,FEMALE SUPPORT IN A MOTION PICTURE,EMILY BLUNT,A QUIET PLACE,TRUE,TRUE,White
181,847,2017 - 23rd Annual,FEMALE LEAD,EMILY BLUNT,THE GIRL ON THE TRAIN,FALSE,TRUE,White
182,264,2019 - 25th Annual,FEMALE LEAD IN A MOTION PICTURE,GLENN CLOSE,THE WIFE,TRUE,TRUE,White
183,2229,2012 - 18th Annual,FEMALE DRAMA SERIES,GLENN CLOSE,DAMAGES,FALSE,TRUE,White
184,2233,2012 - 18th Annual,FEMALE LEAD ROLE,GLENN CLOSE,ALBERT NOBBS,FALSE,TRUE,White
185,2454,2011 - 17th Annual,FEMALE DRAMA SERIES,GLENN CLOSE,DAMAGES,FALSE,TRUE,White
186,2693,2010 - 16th Annual,FEMALE DRAMA SERIES,GLENN CLOSE,DAMAGES,FALSE,TRUE,White
187,3205,2008 - 14th Annual,FEMALE DRAMA SERIES,GLENN CLOSE,DAMAGES,FALSE,TRUE,White
188,3905,2005 - 11th Annual,FEMALE TV MOVIE OR MINISERIES,GLENN CLOSE,THE LION IN WINTER,TRUE,TRUE,White
189,5209,1998 - 4th Annual,FEMALE TV MOVIE OR MINISERIES,GLENN CLOSE,IN THE GLOAMING,FALSE,TRUE,White
190,5563,1996 - 2nd Annual,FEMALE TV MOVIE OR MINISERIES,GLENN CLOSE,SERVING IN SILENCE,FALSE,TRUE,White
191,267,2019 - 25th Annual,FEMALE SUPPORT IN A MOTION PICTURE,EMMA STONE,THE FAVOURITE,FALSE,TRUE,White
192,271,2019 - 25th Annual,FEMALE TV MOVIE OR LIMITED SERIES (MINISERIES),EMMA STONE,MANIAC,FALSE,TRUE,White
193,846,2017 - 23rd Annual,FEMALE LEAD,EMMA STONE,LA LA LAND,TRUE,TRUE,White
194,1412,2015 - 21st Annual,FEMALE ACTOR IN A SUPPORTING ROLE,EMMA STONE,BIRDMAN,FALSE,TRUE,White
195,268,2019 - 25th Annual,FEMALE SUPPORT IN A MOTION PICTURE,RACHEL WEISZ,THE FAVOURITE,FALSE,TRUE,White
196,3710,2006 - 12th Annual,FEMALE SUPPORTING ROLE,RACHEL WEISZ,THE CONSTANT GARDENER,TRUE,TRUE,White
197,269,2019 - 25th Annual,FEMALE SUPPORT IN A MOTION PICTURE,AMY ADAMS,VICE,FALSE,TRUE,White
